AC,DE
B3FIQ2,HWTX-XVIa8 
B3FIS8,HWTX-IIa 
A0A023WBU3,HW11c64 toxin 
A0A023WAI7,HW11c13 toxin 
A0A023WBT0,HW11c20 toxin 
B3FIQ0,HWTX-XVIa6 
B2ZBA5,HW17g8 toxin-like 
B3FIT0,HWTX-IIc 
B2ZBA2,HW17g1 toxin-like 
A0A023WBI0,HW11c31 toxin 
B2ZBA7,HW17g29 toxin-like 
B3FIR6,HWTX-Ia9 
B2ZBB2,HW18gL14 toxin-like 
B3FIR0,HWTX-Ia3 
B3FIQ3,HWTX-XVIa9 
A0A023WBI4,HW11c63 toxin 
B5U1K0,HWTX-VIII 
A0A023WBI1,HW11c46 toxin 
B3FIP6,HWTX-XVIa2 
A0A023WAE4,HW11c122 toxin 
A0A023WB37,HW11c39 toxin 
A0A023WAJ3,HW11c45 toxin 
B3FIQ6,HWTX-XVIb2 
A0A023WAC6,HW11c10 toxin 
B3FIT5,HWTX-VIIIa 
A0A023WBU6,HW11c87 toxin 
S0F214,Omega/Kappa-hexatoxin-Hv1g_5 insecticidal toxin 
S0F1N5,Omega/Kappa-hexatoxin-Hv1g_7 insecticidal toxin 
S0F208,Omega/Kappa-hexatoxin-Hv1g_6 insecticidal toxin 
A0A1U9X3C5,Phospholipase D 
D5J6Y3,Putative toxin 
D5J6X8,Putative mature sequence toxin-like ACSKQ 
A0A1V0FWL3,U3-theritoxin-Lm4 
A0A2L2Z7A0,Cystine knot toxin 
A0A2L2Z837,Cystine knot toxin 
A0A2L2YIL4,U8-agatoxin-Ao1a 
A0A2L2YFX5,Cystine knot toxin 
A0A2L2Z930,Astacin-like metalloprotease toxin 
A0A2L2YWB1,Uncharacterized protein 
A0A2L2XXI9,Cystine knot toxin 
A0A2L2YIQ1,U8-agatoxin-Ao1a 
A0A2L2Y1T7,Cystine knot toxin 
A0A2L2Z4M6,Cystine knot toxin 
A0A2D0PE83,U48-Eretoxin-Ek1d_1 
A0A2D0PBN7,U27-Eretoxin-Ek1a_1 
A0A2D0PEH1,U48-Eretoxin-Ek1f_1 
A0A1V0FX07,U3-theritoxin-Lm2 
A0A1V0FWS6,U3-theritoxin-Lm1 
A0A1V0FWK0,U1-theritoxin-Lm1 
A0A1V0FWG3,U3-theritoxin-Lm3 
D5J6Y2,Putative toxin 
D5J6Y1,Putative toxin 
D5J6X7,Putative mature sequence toxin-like RFEC 
A0A088BPG9,Secretory peptide 
A0A088BPC6,Secretory peptide 
A0A088BP50,Secretory peptide 
A0A088BPG7,Secretory peptide 
A0A088BPQ3,Secretory peptide 
A0A088BP51,Secretory peptide 
A0A088BPW0,Secretory peptide 
A0A088BP96,Secretory peptide 
A0A088BP94,Secretory peptide 
A0A088BPG6,Secretory peptide 
A0A088BP56,Secretory peptide 
A0A088BPM2,Secretory peptide 
A0A088BP97,Secretory peptide 
A0A088BP98,Secretory peptide 
A0A088BPN4,Secretory peptide 
A0A088BPQ9,Secretory peptide 
A0A088BPQ5,Secretory peptide 
A0A088BPM3,Secretory peptide 
A0A088BPS4,Secretory peptide 
A0A088BPM6,Secretory peptide 
A0A088BPM4,Secretory peptide 
A0A088BP54,Secretory peptide 
A0A088BPJ5,Secretory peptide 
A0A088BPH1,Secretory peptide 
A0A088BPS0,Secretory peptide 
A0A088BPS2,Secretory peptide 
A0A088BPR2,Secretory peptide 
A0A088BP76,Secretory peptide 
A0A088BP80,Secretory peptide 
A0A088BPH7,Secretory peptide 
A0A088BPH0,Secretory peptide 
A0A088BP84,Secretory peptide 
A0A088BPM8,Secretory peptide 
A0A088BPM7,Secretory peptide 
