AC,DE - RecName: Full
D2Y1Y6;,Mu-theraphotoxin-Hhn2k
D2Y234;,Mu-theraphotoxin-Hhn1c
D2Y235;,Mu-theraphotoxin-Hhn1d
D2Y2C3;,U5-theraphotoxin-Hhn1a
D2Y249;,U3-theraphotoxin-Hhn1a 6
D2Y250;,U3-theraphotoxin-Hhn1a 7
D2Y2G3;,U3-theraphotoxin-Hhn1a 8
D2Y2G4;,U3-theraphotoxin-Hhn1a 9
D2Y2G5;,U3-theraphotoxin-Hhn1a 10
D2Y2G6;,U3-theraphotoxin-Hhn1a 11
D2Y2M1;,U3-theraphotoxin-Hhn1a 12
D2Y2M4;,U3-theraphotoxin-Hhn1a 13
D2Y2M5;,U3-theraphotoxin-Hhn1a 14
D2Y2M6;,U3-theraphotoxin-Hhn1a 15
D2Y2M8;,U3-theraphotoxin-Hhn1a 16
D2Y2N1;,U3-theraphotoxin-Hhn1a 18
D2Y2M3;,U3-theraphotoxin-Hhn1c
D2Y2M9;,U3-theraphotoxin-Hhn1d
D2Y2N2;,U3-theraphotoxin-Hhn1e
P61102;,Mu-segestritoxin-Sf1h 
P85079; A9XDF9;,Omega-lycotoxin-Gsp2671a
A9XDG5;,Omega-lycotoxin-Gsp2671e
A9XDG4;,Omega-lycotoxin-Gsp2671f
A9XDG3;,Omega-lycotoxin-Gsp2671g
P0DP98;,Mu-theraphotoxin-Se1a 
A9XDG2;,Omega-lycotoxin-Gsp2671d
Q5Y4V3;,U3-agatoxin-Ao1f
Q5Y4U8;,U3-agatoxin-Ao1k
P61094;,Mu-segestritoxin-Sf1i 
Q5Y4V1;,U3-agatoxin-Ao1h
Q5Y4V2;,U3-agatoxin-Ao1g
P83608;,Delta-actinopoditoxin-Mb1a
Q5Y4V4;,U3-agatoxin-Ao1e
P11061;,Mu-agatoxin-Aa1e
P11062;,Mu-agatoxin-Aa1f
Q5Y4V6;,U3-agatoxin-Ao1c
P61097;,Mu-segestritoxin-Sf1c 
P61098;,Mu-segestritoxin-Sf1d 
P61099;,Mu-segestritoxin-Sf1e 
P61100;,Mu-segestritoxin-Sf1f 
P61101;,Mu-segestritoxin-Sf1g 
Q5Y4V0;,U3-agatoxin-Ao1i
Q5Y4U9;,U3-agatoxin-Ao1j
P11060;,Mu-agatoxin-Aa1d
P83259;,Delta-amaurobitoxin-Pl1d
Q5Y4W9;,U2-agatoxin-Ao1q
P0C2L8;,Kappa-hexatoxin-Hf1a
P0DMQ4;,Kappa-hexatoxin-Hmo1d 
P82227;,Kappa-hexatoxin-Hv1a
P82226;,Kappa-hexatoxin-Hv1b
P0CF14;,U2-agatoxin-Ao1s
Q5Y4U7;,Mu-agatoxin-Ao1a
Q5Y4W7;,U2-agatoxin-Ao1t
Q5Y4X0;,U2-agatoxin-Ao1p
P83256;,Delta-amaurobitoxin-Pl1a
Q5Y4X3;,U2-agatoxin-Ao1m
Q5Y4X2;,U2-agatoxin-Ao1n
Q5Y4X1;,U2-agatoxin-Ao1o
Q5Y4W8;,U2-agatoxin-Ao1r
Q5Y4W6;,U2-agatoxin-Ao1u
A0A0G3F8Z3;,Omega-phylotoxin-To1a 
P60178; P11059;,Mu-agatoxin-Aa1c
Q5Y4Y0;,U2-agatoxin-Ao1f
Q5Y4X9;,U2-agatoxin-Ao1g
Q5Y4X7;,U2-agatoxin-Ao1i
Q5Y4X6;,U2-agatoxin-Ao1j
Q5Y4X5;,U2-agatoxin-Ao1k
Q5Y4X4;,U2-agatoxin-Ao1l
Q5Y4W4;,U2-agatoxin-Ao1x
Q5Y4W3;,U2-agatoxin-Ao1y
P15968;,Mu-agatoxin-Hc1c
Q5Y4V5;,U3-agatoxin-Ao1d
Q5Y4Y1;,U2-agatoxin-Ao1e
P0CF15;,U2-agatoxin-Ao1v
Q5Y4U6;,Mu-agatoxin-Ao1b
P60177; P11059;,Mu-agatoxin-Hc1b
Q5Y4V7;,U3-agatoxin-Ao1b
Q5Y4W2;,U2-agatoxin-Ao1z
Q5Y4W5;,U2-agatoxin-Ao1w
P81598;,Omega-hexatoxin-Hv1e
P81599;,Omega-hexatoxin-Hv1f
S0F209;,Omega/Kappa-hexatoxin-Hv1h 
P83288; W0LP48;,Omega-oxotoxin-Ot1a
P84756;,Omega-oxotoxin-Ol1b
A0A1L1QJU3;,Pi-hexatoxin-Hi1a 
Q9BJV8;,Omega-hexatoxin-Asp2a
Q9BJV7;,Omega-hexatoxin-Asp2b
S0F207;,Omega/kappa-hexatoxin-Hv1g 
P83588;,Omega-actinopoditoxin-Mb1a
P83250;,M-oxotoxin-Ot2c
C0HLF9;,Oxyopinin-3a 
P84093;,U20-ctenitoxin-Pn1a
P0DP46;,Pi-hexatoxin-Hi1b 
P0DP47;,Pi-hexatoxin-Hi1c 
P0DP48;,Pi-hexatoxin-Hi1d 
Q9BJV9;,Omega-hexatoxin-Hi2a
Q9BJW0;,Omega-hexatoxin-Hi2b
S0F1P1;,Kappa-hexatoxin-Hv1d 
S0F1M9;,Kappa-hexatoxin-Hv1e 
S0F1N0;,Omega-hexatoxin-Hi1e 
P15970;,Omega-agatoxin-Aa1b
P81744;,Omega-agatoxin-Aa3b
P81745;,Omega-agatoxin-Aa3c
C0HLF6;,M-oxotoxin-Ot1c 
C0HLG0;,Oxyopinin-3b 
C0HLG1;,Oxyopinin-3c 
P0C8M0;,Omega-oxotoxin-Ol1a
P82852;,Omega-hexatoxin-Hv2a
P0C2L0;,Phospholipase D LiSicTox-alphaI-1
P0C2K2;,Phospholipase D LgSicTox-alphaI-1
P0C2L1;,Phospholipase D LlSicTox-alphaIII-1
P84027;,U1-ctenitoxin-Asp1a
Q7Z1N0;,Phospholipase D LarSicTox-alphaI-1
P84001;,U3-ctenitoxin-Asp1a
D2Y2H4;,U7-theraphotoxin-Hhn1l
D2Y2A0;,U7-theraphotoxin-Hhn1a 1
D2Y2A1;,U7-theraphotoxin-Hhn1a 2
D2Y2E0;,U8-theraphotoxin-Hhn1b
D2Y2B2;,U7-theraphotoxin-Hhn1a 4
D2Y2E2;,U8-theraphotoxin-Hhn1c 2
D2Y2E3;,U8-theraphotoxin-Hhn1c 3
D2Y2E4;,U8-theraphotoxin-Hhn1d
D2Y2E5;,U8-theraphotoxin-Hhn1e
D2Y2E6;,U8-theraphotoxin-Hhn1f
D2Y2A3;,U7-theraphotoxin-Hhn1b
D2Y262;,U11-theraphotoxin-Hhn1a
D2Y263;,U11-theraphotoxin-Hhn1a
D2Y264;,U11-theraphotoxin-Hhn1a
D2Y265;,U11-theraphotoxin-Hhn1a
D2Y266;,U11-theraphotoxin-Hhn1a
D2Y267;,U11-theraphotoxin-Hhn1a
D2Y268;,U11-theraphotoxin-Hhn1a
D2Y269;,U11-theraphotoxin-Hhn1a
D2Y270;,U11-theraphotoxin-Hhn1a
D2Y292;,U11-theraphotoxin-Hhn1a
D2Y293;,U11-theraphotoxin-Hhn1a
D2Y294;,U11-theraphotoxin-Hhn1a
D2Y295;,U11-theraphotoxin-Hhn1a
D2Y296;,U11-theraphotoxin-Hhn1a
D2Y297;,U11-theraphotoxin-Hhn1a
D2Y298;,U11-theraphotoxin-Hhn1a
D2Y2I1;,U11-theraphotoxin-Hhn1a
D2Y2I2;,U11-theraphotoxin-Hhn1a
D2Y2P3;,U11-theraphotoxin-Hhn1a
D2Y260;,U11-theraphotoxin-Hhn1a
D2Y255;,U11-theraphotoxin-Hhn1a
D2Y279;,U11-theraphotoxin-Hhn1i
D2Y280;,U11-theraphotoxin-Hhn1j
D2Y281;,U11-theraphotoxin-Hhn1k
D2Y282;,U11-theraphotoxin-Hhn1l
D2Y283;,U11-theraphotoxin-Hhn1m
D2Y284;,U11-theraphotoxin-Hhn1n
D2Y2C5;,Hainantoxin-XVII
D2Y2C7;,Hainantoxin-XVII.2
D2Y251;,Hainantoxin-XVIII
D2Y2P2;,Hainantoxin-XVIII.2
D2Y252;,Hainantoxin-XVIII-2
D2Y2H1;,Hainantoxin-XVIII-3
D2Y2H2;,Hainantoxin-XVIII-4
D2Y2N9;,Hainantoxin-XVIII-5
D2Y2P0;,Hainantoxin-XVIII-6
D2Y2P1;,Hainantoxin-XVIII-7
D2Y299;,U9-theraphotoxin-Hhn1a
D2Y2C9;,Hainantoxin-XX
D2Y2H0;,Hainantoxin-XX.2
D2Y2D0;,Hainantoxin-XX.3
D2Y204;,U4-theraphotoxin-Hhn1a
D2Y205;,U4-theraphotoxin-Hhn1a
D2Y207;,U4-theraphotoxin-Hhn1a
D2Y208;,U4-theraphotoxin-Hhn1a
D2Y209;,U4-theraphotoxin-Hhn1a
D2Y211;,U4-theraphotoxin-Hhn1a
D2Y212;,U4-theraphotoxin-Hhn1a
D2Y228;,U4-theraphotoxin-Hhn1a
D2Y2I9;,U4-theraphotoxin-Hhn1a
D2Y210;,U4-theraphotoxin-Hhn1a
D2Y2K5;,U4-theraphotoxin-Hhn1a
D2Y2K9;,U4-theraphotoxin-Hhn1a
D2Y2L0;,U4-theraphotoxin-Hhn1a
D2Y2L3;,U4-theraphotoxin-Hhn1a
D2Y2K2;,U4-theraphotoxin-Hhn1s
D2Y2K3;,U4-theraphotoxin-Hhn1t
D2Y216;,U4-theraphotoxin-Hhn1ab
D2Y217;,U4-theraphotoxin-Hhn1z
D2Y2C1;,U6-theraphotoxin-Hhn1a 1
D2Y2H6;,U6-theraphotoxin-Hhn1a 2
D2Y2H7;,U6-theraphotoxin-Hhn1a 3
D2Y2H8;,U6-theraphotoxin-Hhn1a 4
D2Y2C0;,U8-theraphotoxin-Hhn1a
D2Y2A2;,U7-theraphotoxin-Hhn1a 3
D2Y2E1;,U8-theraphotoxin-Hhn1c 1
D2Y2B3;,U7-theraphotoxin-Hhn1a 5
D2Y2B4;,U7-theraphotoxin-Hhn1a 6
D2Y2B5;,U7-theraphotoxin-Hhn1a 7
D2Y2H5;,U7-theraphotoxin-Hhn1a 8
D2Y2E7;,U8-theraphotoxin-Hhn1g
D2Y2A4;,U7-theraphotoxin-Hhn1c
D2Y2A5;,U7-theraphotoxin-Hhn1d
D2Y2A6;,U7-theraphotoxin-Hhn1e
D2Y2A7;,U7-theraphotoxin-Hhn1f
D2Y2A8;,U7-theraphotoxin-Hhn1g
D2Y2A9;,U7-theraphotoxin-Hhn1h
D2Y256;,U11-theraphotoxin-Hhn1a
D2Y257;,U11-theraphotoxin-Hhn1a
D2Y273;,U11-theraphotoxin-Hhn1d
D2Y259;,U11-theraphotoxin-Hhn1a
D2Y275;,U11-theraphotoxin-Hhn1f
D2Y276;,U11-theraphotoxin-Hhn1f
D2Y277;,U11-theraphotoxin-Hhn1g
D2Y278;,U11-theraphotoxin-Hhn1h
D2Y285;,U11-theraphotoxin-Hhn1o
D2Y286;,U11-theraphotoxin-Hhn1p
D2Y287;,U11-theraphotoxin-Hhn1q
D2Y288;,U11-theraphotoxin-Hhn1r
D2Y289;,U11-theraphotoxin-Hhn1s
D2Y290;,U11-theraphotoxin-Hhn1t
D2Y291;,U11-theraphotoxin-Hhn1u
D2Y2H9;,U11-theraphotoxin-Hhn1v
D2Y2I0;,U11-theraphotoxin-Hhn1w
D2Y2P5;,U11-theraphotoxin-Hhn1x
D2Y2C8;,Hainantoxin-XVII.3
D2Y2C6;,Hainantoxin-XVII-2
D2Y229;,U4-theraphotoxin-Hhn1a
D2Y230;,U4-theraphotoxin-Hhn1a
D2Y2D5;,U4-theraphotoxin-Hhn1a
D2Y2D6;,U4-theraphotoxin-Hhn1a
D2Y206;,U4-theraphotoxin-Hhn1a
D2Y2K6;,U4-theraphotoxin-Hhn1a
D2Y2L2;,U4-theraphotoxin-Hhn1a
D2Y1Y4;,Mu-theraphotoxin-Hhn2j 1
D2Y1Y5;,Mu-theraphotoxin-Hhn2j 2
D2Y202;,Mu-theraphotoxin-Hhn2f
D2Y203;,Mu-theraphotoxin-Hhn2g
D2Y2I6;,Mu-theraphotoxin-Hhn2i
D2Y241;,U3-theraphotoxin-Hhn1a 2
D2Y2N4;,U3-theraphotoxin-Hhn1a 19
D2Y244;,U3-theraphotoxin-Hhn1j
D2Y245;,U3-theraphotoxin-Hhn1k
D2Y246;,U3-theraphotoxin-Hhn1l
D2Y2G7;,U3-theraphotoxin-Hhn1n
D2Y2G8;,U3-theraphotoxin-Hhn1o
D2Y2G9;,U3-theraphotoxin-Hhn1p
D2Y2M0;,U3-theraphotoxin-Hhn1q
D2Y2M2;,U3-theraphotoxin-Hhn1b
D2Y2F0;,Omega-theraphotoxin-Hhn1f 4
D2Y237;,Omega-theraphotoxin-Hhn1a 1
D2Y239;,Omega-theraphotoxin-Hhn1a 2
D2Y2F1;,Omega-theraphotoxin-Hhn1c
D2Y2L5;,Omega-theraphotoxin-Hhn1d
D2Y2L8;,Omega-theraphotoxin-Hhn1e
D2Y2F2;,Hainantoxin-X-2
D2Y2R4;,Hainantoxin-X-3
D2Y2C4;,Hainantoxin-X
D2Y2R1;,Hainantoxin-X.2
D2Y2R3;,Hainantoxin-X.3
D2Y2B0;,U7-theraphotoxin-Hhn1i
D2Y2B1;,U7-theraphotoxin-Hhn1j
D2Y2H3;,U7-theraphotoxin-Hhn1k
D2Y2P6;,U11-theraphotoxin-Hhn1a
D2Y253;,U11-theraphotoxin-Hhn1a
D2Y254;,U11-theraphotoxin-Hhn1a
D2Y261;,U11-theraphotoxin-Hhn1a
D2Y271;,U11-theraphotoxin-Hhn1b
D2Y2P8;,U11-theraphotoxin-Hhn1b
D2Y272;,U11-theraphotoxin-Hhn1c
D2Y258;,U11-theraphotoxin-Hhn1a
D2Y274;,U11-theraphotoxin-Hhn1e
D2Y2K7;,U4-theraphotoxin-Hhn1a
D2Y2K8;,U4-theraphotoxin-Hhn1a
D2Y2K4;,U4-theraphotoxin-Hhn1u
D2Y213;,U4-theraphotoxin-Hhn1aa
D2Y214;,U4-theraphotoxin-Hhn1w
D2Y215;,U4-theraphotoxin-Hhn1x
D2Y2J8;,U4-theraphotoxin-Hhn1c
D2Y219;,U4-theraphotoxin-Hhn1ac
D2Y220;,U4-theraphotoxin-Hhn1ad
D2Y221;,U4-theraphotoxin-Hhn1b
D2Y231;,U4-theraphotoxin-Hhn1b
D2Y222;,U4-theraphotoxin-Hhn1y
D2Y223;,U4-theraphotoxin-Hhn1d
D2Y224;,U4-theraphotoxin-Hhn1e
D2Y225;,U4-theraphotoxin-Hhn1f
D2Y226;,U4-theraphotoxin-Hhn1g
D2Y227;,U4-theraphotoxin-Hhn1h
D2Y2J1;,U4-theraphotoxin-Hhn1j
D2Y2J2;,U4-theraphotoxin-Hhn1k
D2Y2J3;,U4-theraphotoxin-Hhn1l
D2Y2J4;,U4-theraphotoxin-Hhn1m
D2Y2J5;,U4-theraphotoxin-Hhn1n
D2Y2J6;,U4-theraphotoxin-Hhn1o
D2Y2J9;,U4-theraphotoxin-Hhn1p
D2Y2K0;,U4-theraphotoxin-Hhn1q
D2Y2K1;,U4-theraphotoxin-Hhn1r
D2Y1Y7;,Mu-theraphotoxin-Hhn2l
D2Y1Y8;,Mu-theraphotoxin-Hhn2m
D2Y1Y9;,Mu-theraphotoxin-Hhn2n
D2Y1Z0;,Mu-theraphotoxin-Hhn2o
D2Y1Z1;,Mu-theraphotoxin-Hhn2p
D2Y1Z2;,Mu-theraphotoxin-Hhn2q
D2Y1Z9;,Mu-theraphotoxin-Hhn2c
D2Y200;,Mu-theraphotoxin-Hhn2d
D2Y201;,Mu-theraphotoxin-Hhn2e
D2Y2I5;,Mu-theraphotoxin-Hhn2h
D2Y240;,U3-theraphotoxin-Hhn1a 1
D2Y242;,U3-theraphotoxin-Hhn1a 3
D2Y243;,U3-theraphotoxin-Hhn1a 4
D2Y248;,U3-theraphotoxin-Hhn1a 5
D2Y2N0;,U3-theraphotoxin-Hhn1a 17
D2Y247;,U3-theraphotoxin-Hhn1m
D2Y2N6;,U3-theraphotoxin-Hhn1h
D2Y2N7;,U3-theraphotoxin-Hhn1i
D2Y2N5;,U3-theraphotoxin-Hhn1g
D2Y236;,Omega-theraphotoxin-Hhn1f 1
D2Y2E8;,Omega-theraphotoxin-Hhn1f 2
D2Y2E9;,Omega-theraphotoxin-Hhn1f 3
D2Y2L7;,Omega-theraphotoxin-Hhn1a 3
D2Y238;,Omega-theraphotoxin-Hhn1b
Q1ELU3;,M-zodatoxin-Lt3a 
Q1ELU4;,M-zodatoxin-Lt4b 
P85032;,U21-ctenitoxin-Co1a
P85145;,U14-ctenitoxin-Co1b
C0JB42;,Phospholipase D LspiSicTox-betaIE2ii
C0JB48;,Phospholipase D LafSicTox-betaIE2
C0JB53;,Phospholipase D SpeSicTox-betaIF1
C0JB60;,Phospholipase D SpeSicTox-betaIIA2i
C0JB69;,Phospholipase D SpaSicTox-betaIIA2
C0JB56;,Phospholipase D SpeSicTox-betaIIA3i
C0JB77;,Phospholipase D SdSicTox-betaIIB1aii
C0JB73;,Phospholipase D SdSicTox-betaIIB1biii
C0JB74;,Phospholipase D SdSicTox-betaIIB1biv
C0JB81;,Phospholipase D SdSicTox-betaIIB1bvii
C0JB83;,Phospholipase D SdSicTox-betaIIB1bix
C0JB84;,Phospholipase D SdSicTox-betaIIB1bx
C0JB86;,Phospholipase D SdSicTox-betaIIB1bxii
C0JB87;,Phospholipase D SdSicTox-betaIIB1bxiii
C0JB88;,Phospholipase D SdSicTox-betaIIB1bxiv
P0C2K4;,Phospholipase D LgSicTox-beta-LOXN2
P0C2K9;,Phospholipase D LgSicTox-beta-LOXN8
P60977;,U1-nemetoxin-Csp1b
P0C2K5;,Phospholipase D LgSicTox-beta-LOXN3
P60978;,U1-nemetoxin-Csp1c
P0DL32;,Fulvonin
P0C2K6;,Phospholipase D LgSicTox-beta-LOXN4
P58396;,Kinin-like peptide-S
P0CH76;,Hainantoxin F7-28.42
P0C2U8;,M-lycotoxin-Ls2a
P61507;,M-lycotoxin-Hc1a
C0HJU9;,Toxin LyeTx 1 
P61508;,M-lycotoxin-Hc2a
B3EWF4; K7WSN2;,Latartoxin-2a 
P0DP97;,Mu-theraphotoxin-Ep1a 
P85146;,U14-ctenitoxin-Co1c
P85144;,U4-ctenitoxin-Co1c
B3EWF3; K7XJP8;,Latartoxin-1b 
Q02989;,Alpha-latroinsectotoxin-Lt1a
B3EWF6; K7WMQ9;,Latartoxin-2c 
Q1ELT9;,M-zodatoxin-Lt1a 
Q1ELU1;,M-zodatoxin-Lt2a 
Q1ELU0;,M-zodatoxin-Lt2b 
P0DJE4;,Alpha-latrotoxin-Lm1a
B3EWF5; K7WU42;,Latartoxin-2b 
R4J7Z9;,Hyaluronidase
P0CH70; P0CH69;,U1-theraphotoxin-Hhn1a
P0CH72;,U3-theraphotoxin-Hhn1r
P0CH73;,Hainantoxin F5-22.36
P0CH74;,Hainantoxin F6-34.84 
P0CH78;,Hainantoxin F8-35.23
B3EWF2; K7WU35;,Latartoxin-1a 
B6DCJ0; B6DCJ2;,U1-lycotoxin-Ls1b
B6DCJ1;,U1-lycotoxin-Ls1b
B6DCJ3;,U1-lycotoxin-Ls1b
B6DCJ4;,U1-lycotoxin-Ls1b
B6DCJ5;,U1-lycotoxin-Ls1e
B3FIU2;,U12-theraphotoxin-Hs1a
B6DCK8;,U1-lycotoxin-Ls1g
B6DCL2;,U1-lycotoxin-Ls1d
B6DCL3;,U1-lycotoxin-Ls1k
B6DCL6;,U1-lycotoxin-Ls1m
B6DCP5;,U1-lycotoxin-Ls1mm
B6DCS8;,U3-lycotoxin-Ls1k
B6DCS9;,U3-lycotoxin-Ls1q
P59368;,Delta-ctenitoxin-Pn1a 
P85276;,U5-ctenitoxin-Co1a
O76199; P29424;,Delta-ctenitoxin-Pn2c 
P85275;,U8-ctenitoxin-Co1a
P85277;,U11-ctenitoxin-Co1b
C0HKD0;,Pi-theraphotoxin-Hm3a 
Q6B4T3;,U2-sicaritoxin-Li1a
P31010;,U7-ctenitoxin-Pn1b
P83747;,Kappa-theraphotoxin-Tb1c
B6DCT5;,U4-lycotoxin-Ls1c 
B6DCT6;,U4-lycotoxin-Ls1a 
B6DCT7;,U4-lycotoxin-Ls1d 
B6DCT8;,U4-lycotoxin-Ls1a 
C0HKG4;,Toxin CpTx-4a 
B6DCW6;,U7-lycotoxin-Ls1e
B6DCW7;,U7-lycotoxin-Ls1g
B6DCX0;,U7-lycotoxin-Ls1b
B6DCX1;,U7-lycotoxin-Ls1c
B6DCX2; B6DCX3;,U8-lycotoxin-Ls1a
B6DCX9;,U8-lycotoxin-Ls1s
B6DCY0;,U8-lycotoxin-Ls1w
B6DCY6;,U8-lycotoxin-Ls1f
B6DCY7;,U8-lycotoxin-Ls1g
B6DCZ0;,U8-lycotoxin-Ls1j
B6DCZ7;,U8-lycotoxin-Ls1p
B6DCZ8;,U8-lycotoxin-Ls1m
B6DCZ9;,U8-lycotoxin-Ls1q
B6DD00;,U8-lycotoxin-Ls1m
B6DD01;,U9-lycotoxin-Ls1a
P85274;,U7-ctenitoxin-Co1a
P83902;,U8-ctenitoxin-Pk1a
P84014;,Omega-ctenitoxin-Pr2a 
P84031;,U7-ctenitoxin-Pr1a
P0C2S7;,U11-ctenitoxin-Pn1a
B6DD03;,U10-lycotoxin-Ls1c
B6DD04;,U10-lycotoxin-Ls1a
Q8T3S6;,U2-aranetoxin-Av1a
Q5Y4U2;,U10-agatoxin-Ao1a
Q5Y4U5;,U4-agatoxin-Ao1a 
Q5Y4W1;,U5-agatoxin-Ao1a
B6DD19;,U13-lycotoxin-Ls1a
B6DD20;,U13-lycotoxin-Ls1c
B6DD21;,U13-lycotoxin-Ls1a
B6DD22;,U13-lycotoxin-Ls1a
B6DD23;,U13-lycotoxin-Ls1d
B6DD24;,U13-lycotoxin-Ls1e
B6DD25;,U13-lycotoxin-Ls1f
B6DD26;,U13-lycotoxin-Ls1f
B6DD27;,U13-lycotoxin-Ls1a
B6DD28;,U13-lycotoxin-Ls1b
B6DD34;,U14-lycotoxin-Ls1a
B6DD35;,U14-lycotoxin-Ls1a
B6DD40;,U15-lycotoxin-Ls1f
B6DD47;,U15-lycotoxin-Ls1e
B6DD48;,U15-lycotoxin-Ls1f
P85033;,U4-ctenitoxin-Co1a
P82960;,U1-theraphotoxin-Hs1b
C0HJK5;,Mu-thomitoxin-Hme1c 
B6DD57;,U19-lycotoxin-Ls1a
B6DD58;,U19-lycotoxin-Ls1b
P61791;,Kappa-sparatoxin-Hv1e
B3EWH0;,Purotoxin-2 
Q75WH1;,Mu-hexatoxin-Mg1c
P61233;,U5-hexatoxin-Mr1a
P61232;,Beta-hexatoxin-Mr1a
B3EWU4;,Short cationic peptide-1d 
B3EWU8;,Short cationic peptide-1g 
B3EWV5;,Short cationic peptide-3a 
B3EWV8;,Short cationic peptide-4a 
B3EWV9;,Short cationic peptide-4b 
B3EWW0;,Short cationic peptide-4c 
B3EWW1;,Short cationic peptide-4d 
B3EWU7;,Short cationic peptide-4e 
B3EWW2;,Short cationic peptide-4f 
B3EWV0;,Short cationic peptide-5a 
B3EWX0;,Short cationic peptide-6a 
B3EWX2;,Short cationic peptide-6b 
B3EWX3;,Short cationic peptide-6c 
B6DCU1;,Toxin-like structure LSTX-D2
B6DCU2;,Toxin-like structure LSTX-D3
B6DCU3;,Toxin-like structure LSTX-D4
B6DCK6;,U1-lycotoxin-Ls1b
B6DCL5;,U1-lycotoxin-Ls1l
B6DCL7;,U1-lycotoxin-Ls1n
B6DCL8;,U1-lycotoxin-Ls1f
B6DCM0;,U1-lycotoxin-Ls1p
B6DCM6;,U1-lycotoxin-Ls1b
B6DCM8;,U1-lycotoxin-Ls1w
P83919; P83920;,U2-ctenitoxin-Cs1a
P60979;,Omega-filistatoxin-Kh1a
P83894;,U13-ctenitoxin-Pn1a
B6DCM9;,U1-lycotoxin-Ls1x
B6DCN6;,U1-lycotoxin-Ls1ee
B6DCN7;,U1-lycotoxin-Ls1ff
B6DCN8;,U1-lycotoxin-Ls1gg
B6DCP1;,U1-lycotoxin-Ls1jj
B6DCP2;,U1-lycotoxin-Ls1kk
B6DCP3;,U1-lycotoxin-Ls1kk
B6DCP4;,U1-lycotoxin-Ls1ll
P0DPG5;,Mu-theraphotoxin-Ae1a 
P60992;,Delta-theraphotoxin-Hm1a 
P84062;,U5-ctenitoxin-Pk1a
P0DOC5;,Delta-theraphotoxin-Hm1b 
P84063;,U5-ctenitoxin-Pk1b
P0DL48;,Omega-agatoxin-Aa5a 
Q5Y4U4;,U8-agatoxin-Ao1a
P85268;,U10-ctenitoxin-Co1b
B6DD54;,U17-lycotoxin-Ls1a
O76200;,Kappa-ctenitoxin-Pn1a
P83911;,Omega-ctenitoxin-Pr1a
P85269;,U10-ctenitoxin-Co1a
B6DD55;,U18-lycotoxin-Ls1a
O76201;,Omega-ctenitoxin-Pn1a
P84000;,U10-ctenitoxin-Pr1a
P85270;,U3-ctenitoxin-Co1a
P83895;,U1-ctenitoxin-Pk1a
P83909;,U2-ctenitoxin-Pr1a
P36985;,U1-plectoxin-Pt1c
P36986;,U1-plectoxin-Pt1d
P36987;,U1-plectoxin-Pt1e
P36988;,U1-plectoxin-Pt1f
P36983;,U1-plectoxin-Pt1a
P83998;,U14-ctenitoxin-Pn1a
P37045;,Omega-agatoxin-Aa4b
P83892;,U4-ctenitoxin-Pr1a
B6DD29;,U2-lycotoxin-Ls1a
B6DD30;,U2-lycotoxin-Ls1b
B6DD31;,U2-lycotoxin-Ls1c
B6DD32;,U2-lycotoxin-Ls1d
B6DD33;,U2-lycotoxin-Ls1e
B6DCS0; B6DCP8;,U3-lycotoxin-Ls1k
B6DCQ3;,U3-lycotoxin-Ls1a
B6DCQ4;,U3-lycotoxin-Ls1a
P83999;,U18-ctenitoxin-Pn1a
B6DCQ7;,U3-lycotoxin-Ls1b
B6DCQ8;,U3-lycotoxin-Ls1c
B6DCQ9;,U3-lycotoxin-Ls1d
B6DCS2;,U3-lycotoxin-Ls1k
B6DCS3;,U3-lycotoxin-Ls1k
B6DCS4;,U3-lycotoxin-Ls1k
D2Y2B6;,Hainantoxin-XV
D2Y2D8;,Hainantoxin-XV-4
P0DMD8;,U2-sicaritoxin-Li1b
P83910;,U6-ctenitoxin-Pk1a
B6DCS5;,U3-lycotoxin-Ls1n
B6DCS6;,U3-lycotoxin-Ls1o
B6DCS7;,U3-lycotoxin-Ls1p
B6DCT0;,U3-lycotoxin-Ls1k
B6DCT1;,U3-lycotoxin-Ls1r
P85263;,U13-ctenitoxin-Co1a 
P83905;,U2-ctenitoxin-Pk1a 
P61229;,U1-ctenitoxin-Pn1a 
P85265;,U12-ctenitoxin-Co1a 
P84028;,Delta-ctenitoxin-Asp2e
P85235;,U11-ctenitoxin-Co1a
P83896;,U4-ctenitoxin-Pk1a
B6DCT3; B6DCT9;,U4-lycotoxin-Ls1a 
B6DCT4;,U4-lycotoxin-Ls1b 
Q27Q53;,U1-sicaritoxin-Li1c
B6DCV0;,U5-lycotoxin-Ls1a
B6DCV3;,U6-lycotoxin-Ls1d
B6DCV5;,U6-lycotoxin-Ls1e
B6DCV8;,U6-lycotoxin-Ls1g
B6DCW0;,U6-lycotoxin-Ls1b
B6DCW1;,U7-lycotoxin-Ls1a
B6DCW2;,U7-lycotoxin-Ls1a
B6DCW5;,U7-lycotoxin-Ls1f
B6DCW8;,U7-lycotoxin-Ls1h
B6DCX4;,U8-lycotoxin-Ls1r
B6DCX5;,U8-lycotoxin-Ls1u
B6DCX6;,U8-lycotoxin-Ls1v
B6DCX7;,U8-lycotoxin-Ls1t
B6DCY2;,U8-lycotoxin-Ls1b
B6DCY3;,U8-lycotoxin-Ls1c
B6DCY4;,U8-lycotoxin-Ls1d
P83258;,Delta-amaurobitoxin-Pl1c
B6DD41;,U15-lycotoxin-Ls1d
B6DD51;,U15-lycotoxin-Ls1h
