AC,DE - RecName: Full
C0JAW5;,Phospholipase D LdSicTox-alphaIB1bii
C0JAW0;,Phospholipase D LarSicTox-alphaIB1b
C0JAU9;,Phospholipase D LsaSicTox-alphaIB2iii
C0JAU8;,Phospholipase D LsaSicTox-alphaIB2ii
P0C2K0;,Phospholipase D LbSicTox-alphaIB1b
Q27Q54; B2KKW2;,Phospholipase D LiSicTox-betaIA1ii
Q56JA9;,Phospholipase D LsSicTox-alphaIA1
Q75WH2;,U12-hexatoxin-Mg1a
P81792;,Omega-ctenitoxin-Pn4a 
P0C2K1;,Phospholipase D LdSicTox-alpha-1
O46168;,U1-agatoxin-Ta1c
P61096;,Mu-segestritoxin-Sf1b 
P56207;,Omega-hexatoxin-Hv1a
C0JAZ3;,Phospholipase D LvSicTox-alphaIC1aiii
C0JB00;,Phospholipase D LruSicTox-alphaIC1b
C0JB06;,Phospholipase D LvSicTox-alphaII1
C0JB03;,Phospholipase D LruSicTox-alphaIC1a
C0JB22;,Phospholipase D LarSicTox-alphaIV1
C0JAZ9;,Phospholipase D LamSicTox-alphaIC1
C0JB01;,Phospholipase D LruSicTox-alphaIC1c
Q4VDB5;,Phospholipase D LgSicTox-alphaIA1
C0JAS7;,Phospholipase D LspaSicTox-alphaIA2ii
C0JAQ8;,Phospholipase D LhSicTox-alphaIA2aii
C0JAS6; C0JAS5;,Phospholipase D LspaSicTox-alphaIA2i
C0JAZ1;,Phospholipase D LvSicTox-alphaIC1ai
C0JAZ2;,Phospholipase D LvSicTox-alphaIC1aii
C0JAQ5; C0JAQ7;,Phospholipase D LhSicTox-alphaIA2ai
C0JAZ8;,Phospholipase D LvSicTox-alphaIC1bv
C0JAY9;,Phospholipase D LsaSicTox-alphaIB1av
C0JB15;,Phospholipase D LhSicTox-alphaIV1ii
C0JAR3;,Phospholipase D LhSicTox-alphaIA2avi
C0JAR9;,Phospholipase D LhSicTox-alphaIA2bi
C0JB27;,Phospholipase D LlSicTox-alphaIV2iii
C0JB29;,Phospholipase D LlSicTox-alphaIV3
C0JAY8;,Phospholipase D LsaSicTox-alphaIB1aiv
C0JAS2;,Phospholipase D LhSicTox-alphaIA2biv
C0JAZ6;,Phospholipase D LvSicTox-alphaIC1biii
C0JB25;,Phospholipase D LlSicTox-alphaIV2i
C0JB28;,Phospholipase D LlSicTox-alphaIV2iv
C0JAU1;,Phospholipase D LspaSicTox-alphaIA1ii
C0JAT6;,Phospholipase D LhSicTox-alphaIA1iii
C0JAU2;,Phospholipase D LspaSicTox-alphaIA1iii
C0JB30;,Phospholipase D LarSicTox-alphaVII1
C0JAR7;,Phospholipase D LhSicTox-alphaIA2avii
C0JAS3;,Phospholipase D LhSicTox-alphaIA2bv
C0JAZ7;,Phospholipase D LvSicTox-alphaIC1biv
C0JAY2;,Phospholipase D LsaSicTox-alphaIB1bi
C0JB02;,Phospholipase D LruSicTox-alphaIC1d
C0JAY1;,Phospholipase D LsaSicTox-alphaIB1ai
C0JB21;,Phospholipase D LruSicTox-alphaIV1
C0JB04;,Phospholipase D LruSicTox-alphaIC2
C0JAT9;,Phospholipase D LspaSicTox-alphaIA1i
C0JAX9;,Phospholipase D LdSicTox-alphaIB3av
C0JB31;,Phospholipase D LhSicTox-alphaVI1i
C0JAX7;,Phospholipase D LdSicTox-alphaIB3aiv
C0JAZ0;,Phospholipase D LsaSicTox-alphaIB1avi
C0JAT8;,Phospholipase D LhSicTox-alphaIA1iv
C0JAY3;,Phospholipase D LsaSicTox-alphaIB1bii
C0JAX4;,Phospholipase D LdSicTox-alphaIB3aii
C0JAQ9;,Phospholipase D LhSicTox-alphaIA2aiii
C0JB19;,Phospholipase D LamSicTox-alphaIV1ii
C0JB24;,Phospholipase D LlSicTox-alphaIV1ii
C0JAS0;,Phospholipase D LhSicTox-alphaIA2bii
C0JB16;,Phospholipase D LhSicTox-alphaIV1iii
C0JAR8;,Phospholipase D LhSicTox-alphaIA2aviii
C0JAS1;,Phospholipase D LhSicTox-alphaIA2biii
C0JAZ5;,Phospholipase D LvSicTox-alphaIC1bii
C0JB07;,Phospholipase D LapSicTox-alphaII1
C0JAT3;,Phospholipase D LspaSicTox-alphaIA2iv
C0JAY4;,Phospholipase D LsaSicTox-alphaIB1aii
C0JB08;,Phospholipase D LarSicTox-alphaII1
C0JAR2;,Phospholipase D LhSicTox-alphaIA2av
C0JAS4;,Phospholipase D LhSicTox-alphaIA2bvi
C0JB05;,Phospholipase D LspaSicTox-alphaII1
C0JB20;,Phospholipase D LamSicTox-alphaIV1iii
C0JB17;,Phospholipase D LhSicTox-alphaIV2
C0JAT5;,Phospholipase D LhSicTox-alphaIA1ii
C0JAS8; C0JAS9;,Phospholipase D LspaSicTox-alphaIA2iii
C0JB14;,Phospholipase D LhSicTox-alphaIV1i
C0JB23;,Phospholipase D LlSicTox-alphaIV1i
C0JAZ4;,Phospholipase D LvSicTox-alphaIC1bi
C0JB10;,Phospholipase D Ls4SicTox-alphaIII1i
C0JB11;,Phospholipase D Ls4SicTox-alphaIII1ii
C0JAT4;,Phospholipase D LhSicTox-alphaIA1i
C0JB32;,Phospholipase D LhSicTox-alphaVI1ii
C0JB13;,Phospholipase D LlSicTox-alphaIII3iii
C0JAY0;,Phospholipase D LdSicTox-alphaIB3avi
C0JAY5;,Phospholipase D LsaSicTox-alphaIB1aiii
C0JB12;,Phospholipase D LlSicTox-alphaIII3ii
C0JAX3;,Phospholipase D LdSicTox-alphaIB3ai
C0JB26;,Phospholipase D LlSicTox-alphaIV2ii
C0JAX2;,Phospholipase D LdSicTox-alphaIB3b
C0JB18;,Phospholipase D LamSicTox-alphaIV1i
C0JAX5;,Phospholipase D LdSicTox-alphaIB3aiii
C0JAR0;,Phospholipase D LhSicTox-alphaIA2aiv
C0JB40;,Phospholipase D LcsSicTox-betaIC1
C0JB51;,Phospholipase D LafSicTox-betaIE1
P49268;,Mu-cyrtautoxin-As1a
D2Y1X7; P83591;,Mu-theraphotoxin-Hhn2b 2
B3EWS5;,Toxin CSTX-8 
P58427;,Kappa-sparatoxin-Hv1c
P58425;,Kappa-sparatoxin-Hv1a
Q1ELU5; Q1ELU6;,M-zodatoxin-Lt4a 
D2Y1X8; P83591;,Mu-theraphotoxin-Hhn2b 3
P55816;,Mu-diguetoxin-Dc1b
D2Y1X6; P83591;,Mu-theraphotoxin-Hhn2b 1
C0JB94;,Phospholipase D LspiSicTox-betaIII1
C0JB92;,Phospholipase D LspiSicTox-betaIII1
B3EWS6;,Toxin CSTX-12 
P85253; B3W6H9;,M-zodatoxin-Lt8a
P60272; A0A1D0BPQ6;,U2-hexatoxin-Hi1a 
P86716; S4TYR3;,Spiderine-1a 
P55817;,Mu-diguetoxin-Dc1c
C0JB91;,Phospholipase D SaSicTox-betaIIB1
C0JB49;,Phospholipase D LspiSicTox-betaIE1i
C0JB44;,Phospholipase D LspiSicTox-betaIE3i
C0JB46;,Phospholipase D LspiSicTox-betaIE4i
C0JB47;,Phospholipase D LspiSicTox-betaIE4ii
C0JB54;,Phospholipase D StSicTox-betaIF1
C0JB50;,Phospholipase D LspiSicTox-betaIE1ii
C0JB45;,Phospholipase D LspiSicTox-betaIE3ii
C0JB58;,Phospholipase D SpeSicTox-betaIIA2ii
C0JB61;,Phospholipase D SpeSicTox-betaIIA2iii
C0JB62;,Phospholipase D SpeSicTox-betaIIA2iv
C0JB65;,Phospholipase D SpeSicTox-betaIIA2v
C0JB71;,Phospholipase D SdSicTox-betaIIB1bi
C0JB80;,Phospholipase D SdSicTox-betaIIB1bvi
P61103;,Mu-theraphotoxin-Hs1a
C0JB36;,Phospholipase D SpeSicTox-betaIB1b
C0JB34;,Phospholipase D SpeSicTox-betaIB4
C0JB43;,Phospholipase D LspiSicTox-betaIE2iii
C0JB55;,Phospholipase D SdSicTox-betaIF1
C0JB52;,Phospholipase D SpaSicTox-betaIF1
C0JB90;,Phospholipase D SdSicTox-betaIIB2ii
C0JB35;,Phospholipase D SpeSicTox-betaIB1a
C0JB39;,Phospholipase D StSicTox-betaIC1
C0JB41;,Phospholipase D LspiSicTox-betaIE2i
C0JB68;,Phospholipase D SpaSicTox-betaIIA1
C0JB67;,Phospholipase D SpeSicTox-betaIIA1
C0JB57;,Phospholipase D SpeSicTox-betaIIA3ii
C0JB70;,Phospholipase D SpaSicTox-betaIIA3
C0JB76;,Phospholipase D SdSicTox-betaIIB1ai
C0JB78;,Phospholipase D SdSicTox-betaIIB1aiii
C0JB79;,Phospholipase D SdSicTox-betaIIB1aiv
C0JB72;,Phospholipase D SdSicTox-betaIIB1bii
C0JB75;,Phospholipase D SdSicTox-betaIIB1bv
C0JB82;,Phospholipase D SdSicTox-betaIIB1bviii
C0JB85;,Phospholipase D SdSicTox-betaIIB1bxi
C0JB89;,Phospholipase D SdSicTox-betaIIB2i
C0JB93;,Phospholipase D LspiSicTox-betaIII2
C0JB37;,Phospholipase D SpeSicTox-betaIB2a
C0JB38;,Phospholipase D SpeSicTox-betaIB2b
C0JB33;,Phospholipase D SpeSicTox-betaIB3
P0DP96;,Mu-theraphotoxin-Osp1b 
P0DP95;,Mu-theraphotoxin-Osp1a 
Q9XZC0;,Alpha-latrocrustotoxin-Lt1a
P0DJE6;,Delta-latroinsectotoxin-Lh1a
P0DJE5;,Alpha-latroinsectotoxin-Lh1a
P0DJE7;,Delta-latroinsectotoxin-Lhe1a
Q25338;,Delta-latroinsectotoxin-Lt1a
Q1ELU2;,M-zodatoxin-Lt3b 
Q1ELU9;,M-zodatoxin-Lt5a 
Q1ELU8;,M-zodatoxin-Lt6a/b 
Q1ELU7;,M-zodatoxin-Lt6a/c 
Q1ELV0;,M-zodatoxin-Lt7a 
G0LXV8;,Alpha-latrotoxin-Lh1a
P0DJE3; A0A089FYN5; L7XGA0;,Alpha-latrotoxin-Lhe1a 
P86719; S4TYZ4;,Spiderine-2b 
P86717; S4TZ61;,Spiderine-1b 
P86718; S4TZ44;,Spiderine-2a 
D2Y2F5;,Kunitz-type U15-theraphotoxin-Hhn1d
P0DJ73;,Kunitz-type U15-theraphotoxin-Hhn1f
D2Y2G2;,Kunitz-type U15-theraphotoxin-Hhn1k
D2Y2Q5;,Kunitz-type U15-theraphotoxin-Hhn1n
D2Y2C2;,Kunitz-type U15-theraphotoxin-Hhn1a
D2Y2F6;,Kunitz-type U15-theraphotoxin-Hhn1e
C9D7R2;,Astacin-like metalloprotease toxin 2
P0DJ70;,Kunitz-type U15-theraphotoxin-Hhn1a
D2Y2Q6;,Kunitz-type U15-theraphotoxin-Hhn1o
D2Y2Q8;,Kunitz-type U15-theraphotoxin-Hhn1q
Q8T3S7;,Kunitz-type U1-aranetoxin-Av1a
P0DJ67;,Kunitz-type U15-theraphotoxin-Hhn1c
P0DMJ1;,Kunitz-type U15-theraphotoxin-Hs1g
P0DJ72;,Kunitz-type U15-theraphotoxin-Hhn1e
P0DJ79;,Kunitz-type U15-theraphotoxin-Hs1d
P0DJ66;,Kunitz-type serine protease inhibitor HNTX-03141017
D2Y2F7;,Kunitz-type U15-theraphotoxin-Hhn1f
P0DJ80;,Kunitz-type U15-theraphotoxin-Hs1a
P0DM62;,Astacin-like metalloprotease toxin 5
D2Y2Q2;,Kunitz-type U15-theraphotoxin-Hhn1m
D2Y2Q7;,Kunitz-type U15-theraphotoxin-Hhn1p
B2ZBB9;,Kunitz-type U15-theraphotoxin-Hs1b
B6DD10;,U11-lycotoxin-Ls1d
B6DD11;,U11-lycotoxin-Ls1a
B6DD12;,U11-lycotoxin-Ls1a
C0HJM7;,Toxin Tx1 
Q86C51;,U5-theraphotoxin-Hs1a 1
P83622;,Cupiennin-1d 
B3FIS3;,U5-theraphotoxin-Hs1a 4
B3EWT8;,Cupiennin-2c 
B3FIS0;,U5-theraphotoxin-Hs1c
B3FIS1;,U5-theraphotoxin-Hs1d
P0CH71;,U2-theraphotoxin-Hhn1a
Q75WG5;,Delta-hexatoxin-Mg1b
P0C2V1;,U15-hexatoxin-Mg1a
P0C2V2;,U15-hexatoxin-Mg1b
P83557;,Mu-hexatoxin-Mg1b
P83558; Q75WG9;,Mu-hexatoxin-Mg1a
P83560;,Delta-hexatoxin-Mg1a
P83562; Q75WG8;,U7-hexatoxin-Mg1a
Q75WH6;,U8-hexatoxin-Mg1a
Q75WH5;,U9-hexatoxin-Mg1a
P0DJ69;,Kunitz-type serine protease inhibitor HNTX-852
P0DJ77;,Kunitz-type kappaPI-theraphotoxin-Hs1a
P0DJ71;,Kunitz-type U15-theraphotoxin-Hhn1d
B2ZBB6;,Kunitz-type kappaPI-theraphotoxin-Hs1b
P0DJ65;,Kunitz-type U15-theraphotoxin-Hhn1h
P0DJ81;,Kunitz-type U15-theraphotoxin-Hs1e
